8
3 3 5 2 5 1 2 1
3891
oaxrnkbpnk C
xblelxgaeho E
mrvsqzocvcaocj H
rxkadlfc G
mhlldloa A
iscdci F
kgteiib E
bxczpgpjh A
kuddckj E
orhcagg H
afkjgylkxvefeo E
rogqrkudakp A
hwfjpogbbcfc C
epkg C
atlgbidn E
egam A
vappg A
htynxztqadcm E
rueuahiqgnhh D
dsmsrqgoif D
muyufebe E
oofyanlwdhnhidi E
mscagp C
tsgmif B
kmrftuzdcedol D
qvtodhxztvdjnd D
ddnnpflgrkercean H
oeawgvruhgaa F
bkrzprwohcdl H
cncj G
ztfbzzoxadwvchkg A
sptbfbnn H
hsuedige C
lvmoedal E
izepaighfbgmdmee C
nelzlgovpqbing H
ktrjvyvjdyfffkb H
rcotptiwhbpmn H
goejhb H
bgysesrnqoecgelp H
ddcmfh D
juknsvgclj F
csagtdojcvlaaoap A
lxdokwgauhfhji B
apbf C
ugaeeldbfcka H
zmmamop A
gjsnwmciigeaagjg E
cxxpeeqthdll A
prqtseedchfragpk H
hggohazfgjn D
alhheyqxyflhn C
weqjpsczucacl E
zhdbzosqbxfneh D
bikaphqelhp A
memdzvofaiab A
aannd D
uydzouwdmdk H
icfdj H
haughfpip C
meqxdwewxxkeedcn C
efzwgcnpj B
whpqkftelfo B
uaouepcyigfeb F
xksyrlufhxgfdf F
yzvlrhinp E
kxeabmyrgcgdpi G
qbfep H
ecejikhhiexbepkk E
djlhxovpqphcdilb E
dcjca C
lueyscgqfjemgo A
otejcdfi E
bkolutiflgglc E
rvbdtaakwedfm B
lijuyfcail A
gcekl F
sbcoofdfma D
fbnvtyjyyhyabhn E
czrdxennb A
gspoixokmlgeffke A
pdyzegfa H
lrmtrgbyaztfadmk E
gzzjnepsabmpc C
offhnlcfio E
tvgsphcabh G
kdqdjpa B
acho B
jllpmpfbpd C
vguoscwghde A
exoqtudaoc B
oeiamfa F
mjkygflflerlddca H
dbisbkcm A
zegloaefzvocpld G
ngaiqyhfad A
jwrqxlfyanfgopk D
frehdywtqfmbgkgk B
fjag F
cwpxzzpgpaied F
ocoge E
doecgce A
zydachwxffugkab E
ndmzekvdschoeaml A
lggwfchp B
dpfjim F
lgcqffwfnaa F
knxfwdekpi D
nabej H
crpvtvxtmyjdoff A
jiacijo A
nbrorglpa E
iuedpi B
jqvlpsmdggfh A
yqsbscifj G
nosjhyxidovdobd H
hswbjkh A
ewpwsnelee G
