100 468872071
368927001 2385254
368927001 6157837
368927004 837403
368927001 1265259
368927002 5739747
368927002 3993226
368927004 1567688
368927004 2398072
368927002 883179
368927002 9981385
368927002 9152222
368927002 1529236
368927004 9812623
368927004 1239625
368927003 9912415
368927001 5945435
368927002 1622010
368927001 1249085
368927001 9942322
368927004 3378602
368927001 1914063
368927002 4580384
368927002 7645569
368927003 4857789
368927001 8466797
368927004 7871399
368927003 2526856
368927003 3810730
368927002 3145447
368927002 7052613
368927002 228882
368927002 1415711
368927002 67750
368927004 825196
368927004 3822938
368927001 8201905
368927003 18006
368927003 385438
368927004 1346741
368927002 1903382
368927001 1110535
368927002 5403443
368927004 9594727
368927003 1557313
368927004 5703736
368927001 6248780
368927001 4156189
368927002 7859192
368927001 3565064
368927003 2466431
368927004 5704651
368927004 9761353
368927004 1284485
368927004 7504273
368927002 2536927
368927004 7325745
368927003 7937623
368927001 9689637
368927001 9362488
368927004 826417
368927003 7001954
368927002 9454957
368927003 2341309
368927004 6099244
368927001 4518738
368927004 2815857
368927003 375062
368927002 6144715
368927004 3508606
368927002 1095582
368927004 2644349
368927002 8979493
368927001 4634400
368927004 6903992
368927001 2398377
368927004 1737366
368927002 3116761
368927003 6361695
368927003 6993714
368927001 1020813
368927002 1896058
368927002 7579041
368927002 4184266
368927003 9503480
368927004 1048584
368927004 5380860
368927001 4659730
368927002 8781128
368927003 3449708
368927002 2283326
368927001 833741
368927004 8472291
368927003 6687012
368927003 5721436
368927003 1885071
368927004 1571961
368927002 1226502
368927003 1524354
368927002 5044861
368927002 6051026
